id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,ACC,AUC,ACCtrain,AUCtrain
clf_0_111_13_0_Baseline_Intercept_0_nohp,clf,0,111,13,0,Baseline,Intercept,0,nohp,0.18413686752319336,True,0.8571428571428571,0.46153846153846156,0.8288288288288288,0.4955445544554456
clf_0_111_13_0_GLM_Ridge_0_nohp,clf,0,111,13,0,GLM,Ridge,0,nohp,0.03267359733581543,True,0.9285714285714286,0.18269230769230768,0.918918918918919,0.7534653465346535
clf_0_111_13_0_GLM_LinearRidge_0_nohp,clf,0,111,13,0,GLM,LinearRidge,0,nohp,0.0164029598236084,True,0.9285714285714286,0.16346153846153846,0.918918918918919,0.7613861386138614
clf_0_111_13_0_GLM_Lasso_0_nohp,clf,0,111,13,0,GLM,Lasso,0,nohp,0.17990589141845703,True,0.9285714285714286,0.5,0.9099099099099099,0.5
clf_0_111_13_0_GLM_Enet_0_nohp,clf,0,111,13,0,GLM,Enet,0,nohp,0.2217082977294922,True,0.9285714285714286,0.5,0.9099099099099099,0.5
clf_0_111_13_0_QDA_QDA_0_nohp,clf,0,111,13,0,QDA,QDA,0,nohp,0.005085945129394531,True,0.9285714285714286,0.40384615384615385,0.9279279279279279,0.8326732673267327
clf_0_111_13_0_TREE_CART_0_nohp,clf,0,111,13,0,TREE,CART,0,nohp,0.0028963088989257812,True,0.8928571428571429,0.34615384615384615,0.9369369369369369,0.9386138613861387
clf_0_111_13_0_TREE_XCART_0_nohp,clf,0,111,13,0,TREE,XCART,0,nohp,0.0023119449615478516,True,0.9285714285714286,0.3653846153846154,0.9369369369369369,0.9386138613861387
clf_0_111_13_0_RF_XRF_0_nohp,clf,0,111,13,0,RF,XRF,0,nohp,0.09326004981994629,True,0.9285714285714286,0.40384615384615385,0.9369369369369369,0.9386138613861387
clf_0_111_13_0_GBDT_xgb_sklearn_0_nohp,clf,0,111,13,0,GBDT,xgb_sklearn,0,nohp,0.03729391098022461,True,0.8928571428571429,0.04807692307692307,0.9369369369369369,0.9386138613861387
clf_0_111_13_0_GBDT_ADABoost_0_nohp,clf,0,111,13,0,GBDT,ADABoost,0,nohp,0.06818175315856934,True,0.8928571428571429,0.16346153846153846,0.9099099099099099,0.788118811881188
clf_0_111_13_0_NN_MLP_sklearn_0_nohp,clf,0,111,13,0,NN,MLP_sklearn,0,nohp,0.11134743690490723,True,0.9285714285714286,0.3557692307692307,0.9279279279279279,0.9247524752475247
clf_0_111_13_0_RF_RF_0_nohp,clf,0,111,13,0,RF,RF,0,nohp,0.11545634269714355,True,0.9285714285714286,0.2980769230769231,0.9369369369369369,0.9386138613861386
clf_0_111_13_0_GBDT_XGBoost_0_nohp,clf,0,111,13,0,GBDT,XGBoost,0,nohp,0.05790281295776367,True,0.9285714285714286,0.4519230769230769,0.9279279279279279,0.8871287128712871
clf_0_111_13_0_GBDT_LGBM_0_nohp,clf,0,111,13,0,GBDT,LGBM,0,nohp,0.035428762435913086,True,0.9285714285714286,0.3557692307692307,0.9099099099099099,0.7737623762376238
clf_0_111_13_0_mlrnet_mlrnetfast_0_nohp,clf,0,111,13,0,mlrnet,mlrnetfast,0,nohp,6.5693652629852295,True,0.9285714285714286,0.2596153846153846,0.9279279279279279,0.901980198019802
clf_0_111_13_0_NN_regularnetfast_0_nohp,clf,0,111,13,0,NN,regularnetfast,0,nohp,1.0127227306365967,True,0.9285714285714286,0.22115384615384612,0.9279279279279279,0.9198019801980198
clf_0_111_13_1_Baseline_Intercept_0_nohp,clf,0,111,13,1,Baseline,Intercept,0,nohp,0.0021719932556152344,True,0.8928571428571429,0.4807692307692308,0.8198198198198198,0.4306930693069307
