,pretty_name,url_repository,original_file_name,new_name,raw_file_size,url_description
0,Shuttle Landing Control,https://archive.ics.uci.edu/ml/machine-learning-databases/shuttle-landing-control/,shuttle-landing-control.data,Shuttle Landing Controlshuttle-landing-control.data,210.0,https://archive.ics.uci.edu/ml/datasets/Shuttle+Landing+Control
2,Lenses,https://archive.ics.uci.edu/ml/machine-learning-databases/lenses/,lenses.data,Lenseslenses.data,408.0,https://archive.ics.uci.edu/ml/datasets/Lenses
3,Hayes-Roth,https://archive.ics.uci.edu/ml/machine-learning-databases/hayes-roth/,hayes-roth.data,Hayes-Rothhayes-roth.data,1740.0,https://archive.ics.uci.edu/ml/datasets/Hayes-Roth
4,detection_of_IoT_botnet_attacks_N_BaIoT,https://archive.ics.uci.edu/ml/machine-learning-databases/00442/,demonstrate_structure.csv,detection_of_IoT_botnet_attacks_N_BaIoTdemonstrate_structure.csv,1776.0,https://archive.ics.uci.edu/ml/datasets/detection_of_IoT_botnet_attacks_N_BaIoT
5,Teaching Assistant Evaluation,https://archive.ics.uci.edu/ml/machine-learning-databases/tae/,tae.data,Teaching Assistant Evaluationtae.data,2113.0,https://archive.ics.uci.edu/ml/datasets/Teaching+Assistant+Evaluation
6,Haberman's Survival,https://archive.ics.uci.edu/ml/machine-learning-databases/haberman/,haberman.data,Haberman's Survivalhaberman.data,3103.0,https://archive.ics.uci.edu/ml/datasets/Haberman%27s+Survival
7,Horton General Hospital,https://archive.ics.uci.edu/ml/machine-learning-databases/00549/,HortonGeneralHospital.csv,Horton General HospitalHortonGeneralHospital.csv,3171.0,https://archive.ics.uci.edu/ml/datasets/Horton+General+Hospital
8,Servo,https://archive.ics.uci.edu/ml/machine-learning-databases/servo/,servo.data,Servoservo.data,3186.0,https://archive.ics.uci.edu/ml/datasets/Servo
9,Lung Cancer,https://archive.ics.uci.edu/ml/machine-learning-databases/lung-cancer/,lung-cancer.data,Lung Cancerlung-cancer.data,3649.0,https://archive.ics.uci.edu/ml/datasets/Lung+Cancer
10,Cervical Cancer Behavior Risk,https://archive.ics.uci.edu/ml/machine-learning-databases/00537/,sobar-72.csv,Cervical Cancer Behavior Risksobar-72.csv,4102.0,https://archive.ics.uci.edu/ml/datasets/Cervical+Cancer+Behavior+Risk
11,Zoo,https://archive.ics.uci.edu/ml/machine-learning-databases/zoo/,zoo.data,Zoozoo.data,4126.0,https://archive.ics.uci.edu/ml/datasets/Zoo
13,Concrete Slump Test,https://archive.ics.uci.edu/ml/machine-learning-databases/concrete/slump/,slump_test.data,Concrete Slump Testslump_test.data,4758.0,https://archive.ics.uci.edu/ml/datasets/Concrete+Slump+Test
14,Lymphography,https://archive.ics.uci.edu/ml/machine-learning-databases/lymphography/,lymphography.data,Lymphographylymphography.data,5624.0,https://archive.ics.uci.edu/ml/datasets/Lymphography
