id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_109_330_0_Baseline_Intercept_0_nohp,reg,0,109,330,0,Baseline,Intercept,0,nohp,0.11916899681091309,True,-0.08205354265996645,0.0
reg_0_109_330_0_GLM_Ridge_0_nohp,reg,0,109,330,0,GLM,Ridge,0,nohp,0.04417705535888672,True,-0.46477177809485326,0.8495508016398339
reg_0_109_330_0_GLM_Lasso_0_nohp,reg,0,109,330,0,GLM,Lasso,0,nohp,3.604078531265259,True,-0.028538569858409968,0.13702204829906872
reg_0_109_330_0_GLM_Enet_0_nohp,reg,0,109,330,0,GLM,Enet,0,nohp,2.571855306625366,True,0.004383211688973376,0.20161068274183103
reg_0_109_330_0_TREE_CART_0_nohp,reg,0,109,330,0,TREE,CART,0,nohp,0.0044155120849609375,True,-0.5573239359662194,1.0
reg_0_109_330_0_RF_XRF_0_nohp,reg,0,109,330,0,RF,XRF,0,nohp,0.27362918853759766,True,-0.4585862508465599,1.0
reg_0_109_330_0_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,0,GBDT,xgb_sklearn,0,nohp,0.08629465103149414,True,0.1328096431554856,0.9411174926942686
reg_0_109_330_0_SVM_Kernel_0_nohp,reg,0,109,330,0,SVM,Kernel,0,nohp,0.010740041732788086,True,-3.8042357944954324,0.9471569308538046
reg_0_109_330_0_SVM_NuSVM_0_nohp,reg,0,109,330,0,SVM,NuSVM,0,nohp,0.008660078048706055,True,0.17144625812079706,0.5345458236679678
reg_0_109_330_0_NN_MLP_sklearn_0_nohp,reg,0,109,330,0,NN,MLP_sklearn,0,nohp,0.08026647567749023,True,-1.2281957910990475,0.99935825221885
reg_0_109_330_0_RF_RF_0_nohp,reg,0,109,330,0,RF,RF,0,nohp,0.25415492057800293,True,0.1729235483014263,0.859212935048864
reg_0_109_330_1_Baseline_Intercept_0_nohp,reg,0,109,330,1,Baseline,Intercept,0,nohp,0.0005218982696533203,True,-0.040877165899304124,0.0
reg_0_109_330_1_GLM_Ridge_0_nohp,reg,0,109,330,1,GLM,Ridge,0,nohp,0.0022668838500976562,True,-1.014652622100999,0.9275709250205343
