id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_133_21_0_Baseline_Intercept_0_nohp,reg,0,133,21,0,Baseline,Intercept,0,nohp,0.16866016387939453,True,-0.01133118311253889,0.0
reg_0_133_21_0_GLM_Ridge_0_nohp,reg,0,133,21,0,GLM,Ridge,0,nohp,0.015869140625,True,0.8015331478993811,0.8727123523603478
reg_0_133_21_0_GLM_Lasso_0_nohp,reg,0,133,21,0,GLM,Lasso,0,nohp,0.04242205619812012,True,0.8005042311985422,0.8728303068779679
reg_0_133_21_0_GLM_Enet_0_nohp,reg,0,133,21,0,GLM,Enet,0,nohp,0.04222226142883301,True,0.8005970328202718,0.8728149004989523
reg_0_133_21_0_TREE_CART_0_nohp,reg,0,133,21,0,TREE,CART,0,nohp,0.0016634464263916016,True,0.8177843250321348,1.0
reg_0_133_21_0_RF_XRF_0_nohp,reg,0,133,21,0,RF,XRF,0,nohp,0.08695816993713379,True,0.8431630405458459,1.0
reg_0_133_21_0_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,0,GBDT,xgb_sklearn,0,nohp,0.027440786361694336,True,0.8531942198537453,0.9770769826801979
reg_0_133_21_0_SVM_Kernel_0_nohp,reg,0,133,21,0,SVM,Kernel,0,nohp,0.015377283096313477,True,0.8015868434554226,0.8726938433783359
reg_0_133_21_0_SVM_NuSVM_0_nohp,reg,0,133,21,0,SVM,NuSVM,0,nohp,0.0038237571716308594,True,0.8338407800409922,0.9618882992007802
reg_0_133_21_0_NN_MLP_sklearn_0_nohp,reg,0,133,21,0,NN,MLP_sklearn,0,nohp,0.11075234413146973,True,0.8315206181262215,0.9844415360809663
reg_0_133_21_0_RF_RF_0_nohp,reg,0,133,21,0,RF,RF,0,nohp,0.11021733283996582,True,0.8551215761697288,0.9851070509837481
reg_0_133_21_0_MARS_MARS_0_nohp,reg,0,133,21,0,MARS,MARS,0,nohp,0.049323320388793945,True,0.8062861633915704,0.8698347674780732
reg_0_133_21_0_GBDT_XGBoost_0_nohp,reg,0,133,21,0,GBDT,XGBoost,0,nohp,0.06919384002685547,True,0.8658355916401645,0.9999891887237178
