id,task,dataset,n,p,dataset_seed,strat,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_133_21_0_False_Baseline_Intercept_0_nohp,reg,0,133,21,0,False,Baseline,Intercept,0,nohp,0.1686601638793945,True,-0.0113311831125388,0.0
reg_0_133_21_0_False_GLM_Ridge_0_nohp,reg,0,133,21,0,False,GLM,Ridge,0,nohp,0.015869140625,True,0.8015331478993811,0.8727123523603478
reg_0_133_21_0_False_GLM_Lasso_0_nohp,reg,0,133,21,0,False,GLM,Lasso,0,nohp,0.0424220561981201,True,0.8005042311985422,0.8728303068779679
reg_0_133_21_0_False_GLM_Enet_0_nohp,reg,0,133,21,0,False,GLM,Enet,0,nohp,0.042222261428833,True,0.8005970328202718,0.8728149004989523
reg_0_133_21_0_False_TREE_CART_0_nohp,reg,0,133,21,0,False,TREE,CART,0,nohp,0.0016634464263916,True,0.8177843250321348,1.0
reg_0_133_21_0_False_RF_XRF_0_nohp,reg,0,133,21,0,False,RF,XRF,0,nohp,0.0869581699371337,True,0.8431630405458459,1.0
reg_0_133_21_0_False_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,0,False,GBDT,xgb_sklearn,0,nohp,0.0274407863616943,True,0.8531942198537453,0.977076982680198
reg_0_133_21_0_False_SVM_Kernel_0_nohp,reg,0,133,21,0,False,SVM,Kernel,0,nohp,0.0153772830963134,True,0.8015868434554226,0.8726938433783359
reg_0_133_21_0_False_SVM_NuSVM_0_nohp,reg,0,133,21,0,False,SVM,NuSVM,0,nohp,0.0038237571716308,True,0.8338407800409922,0.9618882992007802
reg_0_133_21_0_False_NN_MLP_sklearn_0_nohp,reg,0,133,21,0,False,NN,MLP_sklearn,0,nohp,0.1107523441314697,True,0.8315206181262215,0.9844415360809664
reg_0_133_21_0_False_RF_RF_0_nohp,reg,0,133,21,0,False,RF,RF,0,nohp,0.1102173328399658,True,0.8551215761697288,0.985107050983748
reg_0_133_21_0_False_MARS_MARS_0_nohp,reg,0,133,21,0,False,MARS,MARS,0,nohp,0.0493233203887939,True,0.8062861633915704,0.8698347674780732
reg_0_133_21_0_False_GBDT_XGBoost_0_nohp,reg,0,133,21,0,False,GBDT,XGBoost,0,nohp,0.0691938400268554,True,0.8658355916401645,0.9999891887237178
reg_0_133_21_0_False_GBDT_LGBM_0_nohp,reg,0,133,21,0,False,GBDT,LGBM,0,nohp,0.0369951725006103,True,0.8405018405155358,0.9194665455822976
reg_0_133_21_0_False_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,0,False,mlrnet,mlrnetfast,0,nohp,6.030181407928467,True,0.8408276138627374,0.9767799138407128
reg_0_133_21_0_False_NN_regularnetfast_0_nohp,reg,0,133,21,0,False,NN,regularnetfast,0,nohp,0.8953843116760254,True,0.860085473685283,0.9783450544602686
reg_0_133_21_1_False_Baseline_Intercept_0_nohp,reg,0,133,21,1,False,Baseline,Intercept,0,nohp,0.0006248950958251,True,-0.0523819508840206,0.0
reg_0_133_21_1_False_GLM_Ridge_0_nohp,reg,0,133,21,1,False,GLM,Ridge,0,nohp,0.001807689666748,True,0.7906049336519556,0.8658165805629376
reg_0_133_21_1_False_GLM_Lasso_0_nohp,reg,0,133,21,1,False,GLM,Lasso,0,nohp,0.0407817363739013,True,0.7892573720525224,0.8656836389089104
reg_0_133_21_1_False_GLM_Enet_0_nohp,reg,0,133,21,1,False,GLM,Enet,0,nohp,0.0411734580993652,True,0.7890560249440419,0.8654660357542847
reg_0_133_21_1_False_TREE_CART_0_nohp,reg,0,133,21,1,False,TREE,CART,0,nohp,0.001429796218872,True,0.7673280172159742,1.0
reg_0_133_21_1_False_RF_XRF_0_nohp,reg,0,133,21,1,False,RF,XRF,0,nohp,0.0865097045898437,True,0.7857906737019276,1.0
reg_0_133_21_1_False_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,1,False,GBDT,xgb_sklearn,0,nohp,0.0270488262176513,True,0.8870820381752017,0.9687642415140548
reg_0_133_21_1_False_SVM_Kernel_0_nohp,reg,0,133,21,1,False,SVM,Kernel,0,nohp,0.0021970272064208,True,0.7914654244866886,0.8657827068512111
reg_0_133_21_1_False_SVM_NuSVM_0_nohp,reg,0,133,21,1,False,SVM,NuSVM,0,nohp,0.0039730072021484,True,0.8271128150481584,0.9511244104917012
reg_0_133_21_1_False_NN_MLP_sklearn_0_nohp,reg,0,133,21,1,False,NN,MLP_sklearn,0,nohp,0.1059432029724121,True,0.8252020281293077,0.9866243340815956
reg_0_133_21_1_False_RF_RF_0_nohp,reg,0,133,21,1,False,RF,RF,0,nohp,0.1097931861877441,True,0.8782283780016804,0.9835667836554568
reg_0_133_21_1_False_MARS_MARS_0_nohp,reg,0,133,21,1,False,MARS,MARS,0,nohp,0.0243141651153564,True,0.8014158623228278,0.8604497473523196
reg_0_133_21_1_False_GBDT_XGBoost_0_nohp,reg,0,133,21,1,False,GBDT,XGBoost,0,nohp,0.0361025333404541,True,0.8452591989709043,0.9999675251192957
reg_0_133_21_1_False_GBDT_LGBM_0_nohp,reg,0,133,21,1,False,GBDT,LGBM,0,nohp,0.0083463191986083,True,0.8451118726756475,0.8872894678594709
reg_0_133_21_1_False_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,1,False,mlrnet,mlrnetfast,0,nohp,1.0132153034210205,True,0.8486788859714294,0.9657243295726876
reg_0_133_21_1_False_NN_regularnetfast_0_nohp,reg,0,133,21,1,False,NN,regularnetfast,0,nohp,0.9092183113098145,True,0.8498785931954422,0.9831295318266184
reg_0_133_21_2_False_Baseline_Intercept_0_nohp,reg,0,133,21,2,False,Baseline,Intercept,0,nohp,0.0005772113800048,True,-0.0441218798456799,0.0
reg_0_133_21_2_False_GLM_Ridge_0_nohp,reg,0,133,21,2,False,GLM,Ridge,0,nohp,0.0014021396636962,True,0.8345381465897801,0.8614032300473748
reg_0_133_21_2_False_GLM_Lasso_0_nohp,reg,0,133,21,2,False,GLM,Lasso,0,nohp,0.0408709049224853,True,0.8381154038838079,0.8601071878739377
reg_0_133_21_2_False_GLM_Enet_0_nohp,reg,0,133,21,2,False,GLM,Enet,0,nohp,0.0421304702758789,True,0.8404145511531989,0.8593159932192284
reg_0_133_21_2_False_TREE_CART_0_nohp,reg,0,133,21,2,False,TREE,CART,0,nohp,0.0013837814331054,True,0.8426539296186326,1.0
reg_0_133_21_2_False_RF_XRF_0_nohp,reg,0,133,21,2,False,RF,XRF,0,nohp,0.0864703655242919,True,0.845865101423537,1.0
reg_0_133_21_2_False_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,2,False,GBDT,xgb_sklearn,0,nohp,0.0272979736328125,True,0.8888099317538616,0.9707668728789398
reg_0_133_21_2_False_SVM_Kernel_0_nohp,reg,0,133,21,2,False,SVM,Kernel,0,nohp,0.0015406608581542,True,0.8363234359721495,0.8612442629379483
reg_0_133_21_2_False_SVM_NuSVM_0_nohp,reg,0,133,21,2,False,SVM,NuSVM,0,nohp,0.0036344528198242,True,0.8873615870820974,0.9551650591545128
reg_0_133_21_2_False_NN_MLP_sklearn_0_nohp,reg,0,133,21,2,False,NN,MLP_sklearn,0,nohp,0.1187856197357177,True,0.8510775813524682,0.9819500206177392
reg_0_133_21_2_False_RF_RF_0_nohp,reg,0,133,21,2,False,RF,RF,0,nohp,0.1100456714630127,True,0.8935430979659571,0.983456498829907
reg_0_133_21_2_False_MARS_MARS_0_nohp,reg,0,133,21,2,False,MARS,MARS,0,nohp,0.0235829353332519,True,0.8250366717190865,0.8542998524100585
reg_0_133_21_2_False_GBDT_XGBoost_0_nohp,reg,0,133,21,2,False,GBDT,XGBoost,0,nohp,0.035489797592163,True,0.9021210294987696,0.9999922620030074
reg_0_133_21_2_False_GBDT_LGBM_0_nohp,reg,0,133,21,2,False,GBDT,LGBM,0,nohp,0.0080509185791015,True,0.819650972436959,0.8899781229447261
reg_0_133_21_2_False_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,2,False,mlrnet,mlrnetfast,0,nohp,1.0111348628997805,True,0.8513089735772039,0.9745851668065136
reg_0_133_21_2_False_NN_regularnetfast_0_nohp,reg,0,133,21,2,False,NN,regularnetfast,0,nohp,0.8844814300537109,True,0.8295409075175159,0.9470159544104564
reg_0_133_21_3_False_Baseline_Intercept_0_nohp,reg,0,133,21,3,False,Baseline,Intercept,0,nohp,0.0006153583526611,True,-0.0616159334998733,0.0
reg_0_133_21_3_False_GLM_Ridge_0_nohp,reg,0,133,21,3,False,GLM,Ridge,0,nohp,0.0015008449554443,True,0.8832268699625611,0.8463711259754273
reg_0_133_21_3_False_GLM_Lasso_0_nohp,reg,0,133,21,3,False,GLM,Lasso,0,nohp,0.0408003330230712,True,0.8833995270192606,0.8454677446779002
reg_0_133_21_3_False_GLM_Enet_0_nohp,reg,0,133,21,3,False,GLM,Enet,0,nohp,0.0426356792449951,True,0.8834450757647131,0.8448675128297028
reg_0_133_21_3_False_TREE_CART_0_nohp,reg,0,133,21,3,False,TREE,CART,0,nohp,0.0013377666473388,True,0.9259285591277396,1.0
reg_0_133_21_3_False_RF_XRF_0_nohp,reg,0,133,21,3,False,RF,XRF,0,nohp,0.0863385200500488,True,0.9501055533184222,1.0
reg_0_133_21_3_False_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,3,False,GBDT,xgb_sklearn,0,nohp,0.0272383689880371,True,0.9647725092723624,0.9603062564783518
reg_0_133_21_3_False_SVM_Kernel_0_nohp,reg,0,133,21,3,False,SVM,Kernel,0,nohp,0.0012588500976562,True,0.8896448355680857,0.8454806531371077
reg_0_133_21_3_False_SVM_NuSVM_0_nohp,reg,0,133,21,3,False,SVM,NuSVM,0,nohp,0.0036261081695556,True,0.9211382613040588,0.9481760020488116
reg_0_133_21_3_False_NN_MLP_sklearn_0_nohp,reg,0,133,21,3,False,NN,MLP_sklearn,0,nohp,0.1080846786499023,True,0.92076663393627,0.9795827595303706
reg_0_133_21_3_False_RF_RF_0_nohp,reg,0,133,21,3,False,RF,RF,0,nohp,0.1080677509307861,True,0.9633520817291248,0.9757990514042116
reg_0_133_21_3_False_MARS_MARS_0_nohp,reg,0,133,21,3,False,MARS,MARS,0,nohp,0.0229361057281494,True,0.8748341732055176,0.8387641815979151
reg_0_133_21_3_False_GBDT_XGBoost_0_nohp,reg,0,133,21,3,False,GBDT,XGBoost,0,nohp,0.0352687835693359,True,0.9795346525263866,0.9999844274169278
reg_0_133_21_3_False_GBDT_LGBM_0_nohp,reg,0,133,21,3,False,GBDT,LGBM,0,nohp,0.0081655979156494,True,0.9084793217318534,0.9075494366931984
