id,task,dataset,n,p,dataset_seed,strat,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_109_330_0_False_Baseline_Intercept_0_nohp,reg,0,109,330,0,False,Baseline,Intercept,0,nohp,0.119168996810913,True,-0.08205354265996645,0.0
reg_0_109_330_0_False_GLM_Ridge_0_nohp,reg,0,109,330,0,False,GLM,Ridge,0,nohp,0.0441770553588867,True,-0.46477177809485326,0.8495508016398339
reg_0_109_330_0_False_GLM_Lasso_0_nohp,reg,0,109,330,0,False,GLM,Lasso,0,nohp,3.604078531265259,True,-0.028538569858409968,0.13702204829906872
reg_0_109_330_0_False_GLM_Enet_0_nohp,reg,0,109,330,0,False,GLM,Enet,0,nohp,2.571855306625366,True,0.004383211688973376,0.20161068274183103
reg_0_109_330_0_False_TREE_CART_0_nohp,reg,0,109,330,0,False,TREE,CART,0,nohp,0.0044155120849609,True,-0.5573239359662194,1.0
reg_0_109_330_0_False_RF_XRF_0_nohp,reg,0,109,330,0,False,RF,XRF,0,nohp,0.2736291885375976,True,-0.4585862508465599,1.0
reg_0_109_330_0_False_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,0,False,GBDT,xgb_sklearn,0,nohp,0.0862946510314941,True,0.1328096431554856,0.9411174926942686
reg_0_109_330_0_False_SVM_Kernel_0_nohp,reg,0,109,330,0,False,SVM,Kernel,0,nohp,0.010740041732788,True,-3.8042357944954324,0.9471569308538046
reg_0_109_330_0_False_SVM_NuSVM_0_nohp,reg,0,109,330,0,False,SVM,NuSVM,0,nohp,0.008660078048706,True,0.17144625812079706,0.5345458236679678
reg_0_109_330_0_False_NN_MLP_sklearn_0_nohp,reg,0,109,330,0,False,NN,MLP_sklearn,0,nohp,0.0802664756774902,True,-1.2281957910990475,0.99935825221885
reg_0_109_330_0_False_RF_RF_0_nohp,reg,0,109,330,0,False,RF,RF,0,nohp,0.2541549205780029,True,0.1729235483014263,0.859212935048864
reg_0_109_330_1_False_Baseline_Intercept_0_nohp,reg,0,109,330,1,False,Baseline,Intercept,0,nohp,0.0005218982696533,True,-0.040877165899304124,0.0
